list-view-price,celly,celly 2,celly 3,celly 4,city,district,neighborhood
11.0,"2 +
                          0",55 m²,"11
                        Yaşında",1. Kat,bursa,nilufer,dumlupinar
17.5,"3 +
                          1",165 m²,"15
                        Yaşında",Ara Kat,bursa,mudanya,guzelyali_burgaz
14.0,"2 +
                          1",65 m²,"2
                        Yaşında",4. Kat,bursa,nilufer,gorukle
12.0,"2 +
                          1",80 m²,"9
                        Yaşında",Bahçe Katı,bursa,osmangazi,hurriyet
16.0,"2 +
                          1",80 m²,Sıfır Bina,2. Kat,bursa,nilufer,dumlupinar
14.0,"2 +
                          1",60 m²,"2
                        Yaşında",2. Kat,bursa,nilufer,dumlupinar
14.0,"2 +
                          1",60 m²,Sıfır Bina,4. Kat,bursa,nilufer,gorukle
20.0,"3 +
                          1",160 m²,"7
                        Yaşında",3. Kat,bursa,gemlik,hisar
9.0,"1 +
                          1",55 m²,"13
                        Yaşında",2. Kat,bursa,nilufer,dumlupinar
15.0,"2 +
                          1",95 m²,Sıfır Bina,3. Kat,bursa,nilufer,hasanaga
13.0,"2 +
                          1",80 m²,"15
                        Yaşında",2. Kat,bursa,yildirim,karamazak
16.0,"2 +
                          1",70 m²,"5
                        Yaşında",2. Kat,bursa,nilufer,30_agustos_zafer
12.0,"2 +
                          1",90 m²,"15
                        Yaşında",2. Kat,bursa,yildirim,ortabaglar
15.0,"2 +
                          1",70 m²,"2
                        Yaşında",4. Kat,bursa,nilufer,dumlupinar
20.0,"3 +
                          1",127 m²,Sıfır Bina,4. Kat,bursa,nilufer,kizilcikli
12.0,"2 +
                          1",70 m²,"11
                        Yaşında",4. Kat,bursa,nilufer,gorukle
11.0,"1 +
                          1",60 m²,"8
                        Yaşında",Ara Kat,bursa,nilufer,dumlupinar
12.0,"2 +
                          1",60 m²,"6
                        Yaşında",2. Kat,bursa,nilufer,gorukle
14.0,"2 +
                          1",75 m²,"5
                        Yaşında",4. Kat,bursa,nilufer,dumlupinar
14.5,"2 +
                          1",65 m²,"4
                        Yaşında",3. Kat,bursa,nilufer,dumlupinar
22.0,"3 +
                          2",175 m²,"8
                        Yaşında",Bodrum ve Zemin,bursa,nilufer,demirci
14.0,"3 +
                          1",120 m²,"12
                        Yaşında",En Üst Kat,bursa,nilufer,gorukle
24.0,"3 +
                          1",160 m²,"15
                        Yaşında",2. Kat,bursa,nilufer,ihsaniye
12.0,"2 +
                          1",115 m²,"15
                        Yaşında",Yüksek Giriş,bursa,yildirim,hacivat
16.0,"1 +
                          1",69 m²,"1
                        Yaşında",1. Kat,antalya,aksu,altintas
19.0,"2 +
                          1",120 m²,"13
                        Yaşında",2. Kat,antalya,alanya,tosmur
15.5,"2 +
                          1",88 m²,Sıfır Bina,1. Kat,antalya,kepez,aktoprak
13.5,"1 +
                          1",50 m²,"15
                        Yaşında",3. Kat,antalya,muratpasa,guvenlik
2.5,"3 +
                          1",140 m²,"15
                        Yaşında",1. Kat,antalya,muratpasa,fener
19.0,"2 +
                          1",110 m²,Sıfır Bina,3. Kat,antalya,finike,kum
10.5,"1 +
                          1",54 m²,"1
                        Yaşında",3. Kat,antalya,finike,iskele
11.0,"3 +
                          1",115 m²,"15
                        Yaşında",3. Kat,antalya,elmali,karyagdi
19.0,"2 +
                          1",85 m²,"7
                        Yaşında",3. Kat,antalya,kepez,kultur
15.0,"3 +
                          1",140 m²,"1
                        Yaşında",3. Kat,antalya,elmali,karyagdi
10.5,"1 +
                          1",54 m²,Sıfır Bina,1. Kat,antalya,finike,iskele
10.0,"1 +
                          1",73 m²,"3
                        Yaşında",5. Kat,antalya,alanya,demirtas
26.0,"5 +
                          1",225 m²,"2
                        Yaşında",Zemin,antalya,kepez,fevzi_cakmak
20.0,"2 +
                          1",80 m²,"8
                        Yaşında",4. Kat,antalya,alanya,karakocali
12.0,"2 +
                          1",110 m²,"6
                        Yaşında",Bahçe Katı,antalya,dosemealti,yenikoy
18.0,"3 +
                          1",160 m²,"14
                        Yaşında",3. Kat,antalya,kepez,yesilyurt
28.5,"2 +
                          1",125 m²,"15
                        Yaşında",2. Kat,antalya,muratpasa,caglayan
13.0,"2 +
                          1",63 m²,Sıfır Bina,2. Kat,antalya,alanya,demirtas
14.5,"2 +
                          1",185 m²,"1
                        Yaşında",3. Kat,antalya,kumluca,cumhuriyet
11.5,"4 +
                          1",400 m²,"10
                        Yaşında",,antalya,serik,belek
35.0,"2 +
                          1",125 m²,"10
                        Yaşında",4. Kat,antalya,konyaalti,liman
15.0,"1 +
                          1",70 m²,"5
                        Yaşında",2. Kat,antalya,alanya,mahmutlar
35.0,"2 +
                          1",120 m²,"15
                        Yaşında",5. Kat,antalya,konyaalti,liman
10.0,"1 +
                          1",54 m²,"1
                        Yaşında",Ara Kat,antalya,alanya,mahmutlar
45.0,"3 +
                          1",150 m²,"5
                        Yaşında",4. Kat,antalya,konyaalti,liman
15.0,"1 +
                          1",45 m²,"1
                        Yaşında",Yüksek Giriş,antalya,kepez,ahatli
25.0,"2 +
                          1",85 m²,Sıfır Bina,2. Kat,antalya,manavgat,kizilot
15.0,"2 +
                          1",100 m²,"10
                        Yaşında",Ara Kat,antalya,alanya,tepe
15.0,"2 +
                          1",90 m²,"5
                        Yaşında",2. Kat,antalya,alanya,mahmutlar
22.5,"5 +
                          4",80 m²,"1
                        Yaşında",Ara Kat,antalya,alanya,kizlar_pinari
15.0,"1 +
                          1",65 m²,Sıfır Bina,3. Kat,antalya,aksu,altintas
15.0,"1 +
                          1",45 m²,Sıfır Bina,Ara Kat,antalya,aksu,altintas
13.0,"2 +
                          1",90 m²,"10
                        Yaşında",Yüksek Giriş,antalya,dosemealti,yesilbayir
19.0,"2 +
                          1",120 m²,"4
                        Yaşında",Çatı Katı,antalya,gazipasa,pazarci
13.0,"1 +
                          1",50 m²,"12
                        Yaşında",Yüksek Giriş,antalya,dosemealti,ciplakli
22.0,"3 +
                          0",118 m²,"1
                        Yaşında",10. Kat,antalya,kepez,kepez
20.0,"2 +
                          1",105 m²,Sıfır Bina,5. Kat,antalya,dosemealti,bahceyaka
12.0,"1 +
                          1",65 m²,Sıfır Bina,5. Kat,antalya,finike,yeni
15.0,"1 +
                          1",45 m²,Sıfır Bina,Kot 3,antalya,aksu,altintas
12.0,Stüdyo,30 m²,"4
                        Yaşında",4. Kat,antalya,kepez,kultur
55.0,"3 +
                          1",180 m²,"13
                        Yaşında",11. Kat,antalya,muratpasa,yesilbahce
12.0,Stüdyo,57 m²,Sıfır Bina,2. Kat,antalya,dosemealti,yenikoy
18.5,"1 +
                          1",60 m²,"3
                        Yaşında",3. Kat,antalya,alanya,oba
14.5,"2 +
                          1",135 m²,"15
                        Yaşında",En Üst Kat,antalya,serik,yeni
11.0,"1 +
                          1",55 m²,Sıfır Bina,2. Kat,antalya,alanya,kestel
15.0,"1 +
                          1",55 m²,Sıfır Bina,5. Kat,antalya,kepez,gunes
18.0,"2 +
                          1",110 m²,"3
                        Yaşında",Yüksek Giriş,antalya,kepez,kepez
10.0,"2 +
                          1",90 m²,Sıfır Bina,Ara Kat,antalya,alanya,elikesik
12.5,"2 +
                          1",100 m²,"1
                        Yaşında",2. Kat,antalya,alanya,demirtas
30.0,"1 +
                          1",60 m²,"1
                        Yaşında",Ara Kat,antalya,manavgat,sorgun
11.0,"1 +
                          1",50 m²,Sıfır Bina,Yüksek Giriş,antalya,kepez,gazi
25.0,"4 +
                          1",250 m²,"10
                        Yaşında",Teras Katı,antalya,gazipasa,istiklal
14.0,"2 +
                          1",95 m²,"12
                        Yaşında",Ara Kat,antalya,kepez,dudenbasi
17.0,"2 +
                          1",95 m²,"5
                        Yaşında",Giriş Katı,antalya,muratpasa,yenigun
35.0,"4 +
                          4",185 m²,"5
                        Yaşında",,antalya,kemer,arslanbucak
15.0,"2 +
                          1",100 m²,"3
                        Yaşında",5. Kat,antalya,alanya,mahmutlar
35.0,"4 +
                          1",250 m²,"5
                        Yaşında",9. Kat,antalya,gazipasa,pazarci
10.5,"1 +
                          1",60 m²,Sıfır Bina,Yüksek Giriş,antalya,dosemealti,bahceyaka
12.0,"2 +
                          1",110 m²,"10
                        Yaşında",En Üst Kat,antalya,alanya,konakli
10.5,"1 +
                          1",55 m²,Sıfır Bina,Zemin,antalya,finike,hasyurt
12.0,"1 +
                          1",65 m²,"7
                        Yaşında",7. Kat,antalya,alanya,mahmutlar
14.0,"1 +
                          1",75 m²,"7
                        Yaşında",3. Kat,antalya,alanya,kestel
12.0,"1 +
                          1",45 m²,"4
                        Yaşında",Yüksek Giriş,antalya,kepez,gundogdu
11.5,"3 +
                          1",300 m²,Sıfır Bina,,antalya,serik,belek
20.0,"3 +
                          1",150 m²,"1
                        Yaşında",Bahçe Katı,antalya,kepez,erenkoy
20.5,"3 +
                          1",118 m²,Sıfır Bina,Bahçe Katı,antalya,kepez,kepez
14.25,"2 +
                          1",110 m²,Sıfır Bina,1. Kat,antalya,finike,kum
20.0,"2 +
                          1",115 m²,"15
                        Yaşında",4. Kat,antalya,alanya,mahmutlar
15.0,"2 +
                          1",110 m²,Sıfır Bina,11. Kat,antalya,aksu,altintas
15.0,"3 +
                          1",140 m²,"10
                        Yaşında",1. Kat,antalya,muratpasa,kizilarik
17.0,"2 +
                          1",100 m²,"10
                        Yaşında",,antalya,konyaalti,hisarcandir
16.0,"3 +
                          1",135 m²,"15
                        Yaşında",2. Kat,antalya,kepez,safak
20.0,"2 +
                          1",100 m²,"3
                        Yaşında",Ara Kat,antalya,kepez,cankaya
21.5,"1 +
                          1",55 m²,Sıfır Bina,3. Kat,antalya,alanya,kizlar_pinari
24.0,"2 +
                          1",80 m²,"15
                        Yaşında",1. Kat,antalya,konyaalti,uluc
15.0,"2 +
                          1",90 m²,Sıfır Bina,3. Kat,antalya,finike,kum
25.0,"3 +
                          1",120 m²,Sıfır Bina,En Üst Kat,antalya,kemer,kuzdere
22.0,"2 +
                          1",110 m²,"8
                        Yaşında",3. Kat,antalya,alanya,kestel
23.0,"3 +
                          1",125 m²,Sıfır Bina,6. Kat,antalya,finike,hasyurt
18.0,"2 +
                          1",100 m²,Sıfır Bina,1. Kat,antalya,dosemealti,altinkale
11.0,"1 +
                          1",65 m²,"4
                        Yaşında",2. Kat,antalya,kepez,fevzi_cakmak
13.0,"2 +
                          1",95 m²,"10
                        Yaşında",Ara Kat,antalya,dosemealti,ciplakli
15.0,"2 +
                          1",90 m²,"11
                        Yaşında",4. Kat,antalya,kepez,ahatli
18.0,"2 +
                          1",80 m²,Sıfır Bina,Yüksek Giriş,antalya,manavgat,ilica
17.5,"1 +
                          1",75 m²,"15
                        Yaşında",En Üst Kat,antalya,muratpasa,guzeloba
12.0,"1 +
                          1",60 m²,Sıfır Bina,3. Kat,antalya,alanya,mahmutlar
12.5,Stüdyo,55 m²,"10
                        Yaşında",Yüksek Giriş,antalya,kepez,emek
9.0,"1 +
                          1",100 m²,"10
                        Yaşında",Çatı Katı,antalya,elmali,gokpinar
25.0,"1 +
                          1",55 m²,"7
                        Yaşında",3. Kat,antalya,konyaalti,liman
12.0,"1 +
                          1",55 m²,Sıfır Bina,3. Kat,antalya,alanya,kestel
6.5,"3 +
                          1",298 m²,"1
                        Yaşında",,antalya,serik,kadriye
18.0,"2 +
                          1",85 m²,"1
                        Yaşında",Yüksek Giriş,antalya,manavgat,ilica
12.0,"3 +
                          1",120 m²,"1
                        Yaşında",,antalya,kemer,goynuk
12.0,"1 +
                          1",52 m²,Sıfır Bina,2. Kat,antalya,finike,kum
16.0,"2 +
                          1",100 m²,"3
                        Yaşında",2. Kat,antalya,kumluca,merkez
11.0,"1 +
                          1",69 m²,Sıfır Bina,2. Kat,antalya,alanya,kargicak
19.0,"3 +
                          1",160 m²,"11
                        Yaşında",2. Kat,antalya,manavgat,caglayan
15.0,"2 +
                          1",95 m²,"8
                        Yaşında",3. Kat,antalya,dosemealti,yenikoy
17.5,"2 +
                          1",110 m²,Sıfır Bina,2. Kat,antalya,finike,kum
8.999,"2 +
                          1",110 m²,"10
                        Yaşında",,antalya,kemer,goynuk
32.0,"2 +
                          1",120 m²,"15
                        Yaşında",Giriş Katı,antalya,muratpasa,caglayan
28.0,"2 +
                          1",88 m²,"12
                        Yaşında",1. Kat,antalya,konyaalti,molla_yusuf
22.0,"3 +
                          1",118 m²,"1
                        Yaşında",10. Kat,antalya,kepez,kepez
21.0,"1 +
                          1",60 m²,"9
                        Yaşında",Ara Kat,antalya,konyaalti,liman
25.0,"2 +
                          1",90 m²,"15
                        Yaşında",2. Kat,antalya,muratpasa,fener
25.0,"1 +
                          1",55 m²,"7
                        Yaşında",3. Kat,antalya,konyaalti,liman
15.0,"3 +
                          1",135 m²,"14
                        Yaşında",Ara Kat,antalya,alanya,kestel
12.0,"3 +
                          1",130 m²,"5
                        Yaşında",1. Kat,antalya,kas,cavdir
50.0,"3 +
                          1",200 m²,"5
                        Yaşında",,antalya,kas,cukurbag
13.0,"1 +
                          1",69 m²,Sıfır Bina,3. Kat,antalya,alanya,kargicak
15.0,"2 +
                          1",65 m²,"3
                        Yaşında",,antalya,kumluca,yazir
17.0,"1 +
                          1",32 m²,"3
                        Yaşında",Bahçe Katı,antalya,dosemealti,yesilbayir
5.0,"2 +
                          1",150 m²,"15
                        Yaşında",,antalya,serik,bogazkent
29.5,"2 +
                          1",1.009 m²,"4
                        Yaşında",Ara Kat,antalya,konyaalti,hurma
16.0,"3 +
                          1",135 m²,Sıfır Bina,Yüksek Giriş,antalya,kepez,esentepe
10.0,"1 +
                          1",70 m²,"5
                        Yaşında",3. Kat,antalya,alanya,mahmutlar
18.0,"3 +
                          1",190 m²,"15
                        Yaşında",2. Kat,antalya,gazipasa,yeni
10.0,"1 +
                          1",45 m²,Sıfır Bina,Yüksek Giriş,antalya,dosemealti,bahceyaka
21.0,"4 +
                          1",200 m²,Sıfır Bina,Bahçe Katı,antalya,kepez,gocerler
20.0,"1 +
                          1",60 m²,Sıfır Bina,Zemin,antalya,aksu,altintas
40.0,"2 +
                          1",90 m²,"10
                        Yaşında",Yüksek Giriş,antalya,kas,andifli
15.0,"1 +
                          1",60 m²,Sıfır Bina,1. Kat,antalya,alanya,oba
12.0,"2 +
                          1",80 m²,Sıfır Bina,Yüksek Giriş,antalya,dosemealti,yenikoy
14.5,"1 +
                          1",50 m²,"1
                        Yaşında",3. Kat,antalya,aksu,altintas
13.5,"2 +
                          1",100 m²,"3
                        Yaşında",Bodrum,antalya,kepez,kultur
12.0,"1 +
                          1",44 m²,Sıfır Bina,2. Kat,antalya,alanya,cikcilli
13.0,"2 +
                          1",120 m²,"15
                        Yaşında",4. Kat,antalya,alanya,mahmutlar
18.0,"1 +
                          1",73 m²,"10
                        Yaşında",2. Kat,antalya,serik,kadriye
12.0,"2 +
                          1",85 m²,"4
                        Yaşında",,antalya,kepez,camlibel
10.0,"1 +
                          1",55 m²,Sıfır Bina,3. Kat,antalya,alanya,incekum
12.0,"1 +
                          1",62 m²,Sıfır Bina,3. Kat,antalya,finike,kum
18.0,"2 +
                          1",105 m²,Sıfır Bina,2. Kat,antalya,alanya,kestel
16.0,"2 +
                          0",60 m²,"5
                        Yaşında",4. Kat,antalya,kepez,kultur
25.0,"2 +
                          1",60 m²,"5
                        Yaşında",2. Kat,antalya,muratpasa,guzeloba
18.75,"2 +
                          1",85 m²,Sıfır Bina,1. Kat,antalya,manavgat,evrenseki
8.5,"3 +
                          1",85 m²,"7
                        Yaşında",,antalya,aksu,ataturk
14.0,"2 +
                          1",80 m²,Sıfır Bina,2. Kat,antalya,dosemealti,yenikoy
15.0,"2 +
                          1",100 m²,"8
                        Yaşında",Ara Kat,antalya,finike,iskele
18.5,"3 +
                          1",140 m²,"8
                        Yaşında",3. Kat,antalya,alanya,kargicak
30.0,"2 +
                          1",85 m²,"15
                        Yaşında",1. Kat,antalya,kemer,camyuva
11.0,"1 +
                          1",50 m²,Sıfır Bina,3. Kat,antalya,alanya,oba
11.0,"1 +
                          1",65 m²,"10
                        Yaşında",Yüksek Giriş,antalya,gazipasa,pazarci
35.0,"3 +
                          1",175 m²,"15
                        Yaşında",1. Kat,antalya,konyaalti,arapsuyu
22.5,"2 +
                          1",80 m²,"1
                        Yaşında",2. Kat,antalya,alanya,kizlar_pinari
6.0,"2 +
                          1",50 m²,"10
                        Yaşında",Giriş Katı,antalya,muratpasa,yenigun
14.5,"2 +
                          1",85 m²,"8
                        Yaşında",Yüksek Giriş,antalya,kepez,gocerler
14.5,"2 +
                          1",108 m²,"5
                        Yaşında",2. Kat,antalya,muratpasa,kizilarik
32.0,"3 +
                          1",220 m²,"11
                        Yaşında",3. Kat,antalya,alanya,sugozu
29.0,"3 +
                          1",135 m²,"9
                        Yaşında",2. Kat,antalya,konyaalti,hurma
28.0,"3 +
                          1",165 m²,"5
                        Yaşında",4. Kat,antalya,alanya,kestel
15.0,"2 +
                          1",85 m²,"1
                        Yaşında",4. Kat,antalya,alanya,elikesik
7.5,"1 +
                          1",45 m²,"1
                        Yaşında",4. Kat,antalya,gazipasa,aydin
12.0,"2 +
                          1",80 m²,"15
                        Yaşında",2. Kat,antalya,korkuteli,imrahor
12.0,"1 +
                          1",55 m²,Sıfır Bina,1. Kat,antalya,alanya,oba
28.0,"3 +
                          1",145 m²,"8
                        Yaşında",1. Kat,antalya,konyaalti,sarisu
20.0,"3 +
                          1",150 m²,"13
                        Yaşında",Ara Kat,antalya,dosemealti,yesilbayir
12.5,"2 +
                          0",40 m²,"5
                        Yaşında",2. Kat,antalya,kepez,ahatli
15.0,"3 +
                          1",160 m²,"1
                        Yaşında",Kot 1,antalya,alanya,mahmutlar
8.0,"2 +
                          1",500 m²,"3
                        Yaşında",,antalya,kas,gelemis
16.0,"1 +
                          1",70 m²,"4
                        Yaşında",1. Kat,antalya,kas,yesilkoy
18.0,"3 +
                          1",130 m²,"5
                        Yaşında",Yüksek Giriş,antalya,dosemealti,yenikoy
10.0,"3 +
                          1",160 m²,Sıfır Bina,,antalya,kemer,arslanbucak
15.0,"2 +
                          1",125 m²,"10
                        Yaşında",5. Kat,antalya,alanya,mahmutlar
25.0,"5 +
                          1",175 m²,"10
                        Yaşında",Çatı Katı,antalya,alanya,mahmutlar
8.0,"1 +
                          1",85 m²,"6
                        Yaşında",Yüksek Giriş,antalya,korkuteli,kargalik
25.0,"2 +
                          1",90 m²,"10
                        Yaşında",Bahçe Katı,antalya,kemer,kiris
10.0,"1 +
                          1",31 m²,"15
                        Yaşında",Zemin,antalya,kumluca,baglik
22.0,"2 +
                          1",90 m²,"10
                        Yaşında",1. Kat,antalya,konyaalti,hurma
15.1,"1 +
                          1",65 m²,"3
                        Yaşında",3. Kat,antalya,alanya,mahmutlar
18.5,"4 +
                          1",400 m²,"3
                        Yaşında",,antalya,kas,kalkan
14.0,"1 +
                          1",70 m²,"1
                        Yaşında",Çatı Katı,antalya,manavgat,hatipler
30.0,"3 +
                          1",130 m²,"5
                        Yaşında",En Üst Kat,antalya,kemer,kiris
18.0,"2 +
                          1",120 m²,"7
                        Yaşında",1. Kat,antalya,alanya,kestel
20.0,"2 +
                          1",110 m²,"8
                        Yaşında",Ara Kat,antalya,alanya,mahmutlar
17.5,"2 +
                          1",100 m²,"15
                        Yaşında",Giriş Katı,antalya,kas,andifli
11.0,"1 +
                          1",75 m²,"15
                        Yaşında",Zemin,antalya,elmali,yeni
17.0,"1 +
                          1",55 m²,"3
                        Yaşında",3. Kat,antalya,alanya,oba
25.0,"2 +
                          1",65 m²,"15
                        Yaşında",En Üst Kat,antalya,konyaalti,gursu
19.0,"3 +
                          1",175 m²,"3
                        Yaşında",Yüksek Giriş,antalya,serik,orta
15.0,"2 +
                          1",80 m²,Sıfır Bina,1. Kat,antalya,dosemealti,ciplakli
15.0,"1 +
                          1",55 m²,"13
                        Yaşında",Bahçe Katı,antalya,kepez,goksu
15.0,"3 +
                          1",130 m²,"11
                        Yaşında",Giriş Katı,antalya,manavgat,hatipler
16.0,"1 +
                          1",45 m²,"6
                        Yaşında",Yüksek Giriş,antalya,konyaalti,sarisu
13.5,"2 +
                          1",130 m²,"15
                        Yaşında",Ara Kat,antalya,serik,merkez
17.5,"2 +
                          1",110 m²,Sıfır Bina,2. Kat,antalya,finike,kum
12.0,"1 +
                          1",75 m²,"10
                        Yaşında",Yüksek Giriş,antalya,kepez,gulveren
12.0,Stüdyo,42 m²,"1
                        Yaşında",Giriş Katı,antalya,muratpasa,guvenlik
14.5,"2 +
                          1",100 m²,"10
                        Yaşında",3. Kat,antalya,dosemealti,ciplakli
17.0,"3 +
                          1",160 m²,"11
                        Yaşında",Yüksek Giriş,antalya,manavgat,salkim_evler
25.0,"2 +
                          1",75 m²,"12
                        Yaşında",Ara Kat,antalya,konyaalti,liman
17.0,"1 +
                          1",60 m²,"4
                        Yaşında",1. Kat,antalya,konyaalti,sarisu
16.0,"2 +
                          1",100 m²,"1
                        Yaşında",5. Kat,antalya,finike,kum
20.0,"4 +
                          1",160 m²,"4
                        Yaşında",Yüksek Giriş,antalya,kepez,esentepe
10.0,"1 +
                          1",50 m²,Sıfır Bina,1. Kat,antalya,alanya,avsallar
25.0,"4 +
                          1",240 m²,"11
                        Yaşında",2. Kat,antalya,manavgat,asagi_pazarci
10.0,"1 +
                          1",50 m²,Sıfır Bina,,antalya,aksu,mandirlar
17.0,"3 +
                          1",165 m²,"15
                        Yaşında",,antalya,serik,bogazkent
14.5,"2 +
                          1",75 m²,Sıfır Bina,Yüksek Giriş,antalya,kepez,baris
13.0,"3 +
                          1",110 m²,"10
                        Yaşında",Yüksek Giriş,antalya,kepez,kanal
13.0,"2 +
                          1",100 m²,"12
                        Yaşında",1. Kat,antalya,gazipasa,istiklal
26.0,"2 +
                          1",130 m²,"11
                        Yaşında",1. Kat,antalya,konyaalti,toros
7.0,"4 +
                          1",220 m²,"5
                        Yaşında",,antalya,serik,belek
26.0,"2 +
                          1",100 m²,"10
                        Yaşında",1. Kat,antalya,muratpasa,guzeloba
10.0,"1 +
                          1",60 m²,"1
                        Yaşında",3. Kat,antalya,alanya,mahmutlar
55.0,"4 +
                          0",310 m²,"15
                        Yaşında",,antalya,serik,kadriye
30.0,"2 +
                          1",130 m²,"11
                        Yaşında",,antalya,alanya,turkler
18.0,"3 +
                          1",130 m²,"5
                        Yaşında",Çatı Katı,antalya,manavgat,emek
10.0,"1 +
                          1",90 m²,"10
                        Yaşında",Giriş Katı,antalya,alanya,tosmur
6.5,Stüdyo,30 m²,"10
                        Yaşında",Bodrum ve Zemin,antalya,kepez,ahatli
30.0,"2 +
                          1",95 m²,"1
                        Yaşında",Ara Kat,antalya,konyaalti,hurma
20.0,"3 +
                          1",130 m²,"11
                        Yaşında",2. Kat,antalya,manavgat,bahcelievler
20.0,"1 +
                          1",50 m²,Sıfır Bina,Bahçe Katı,antalya,aksu,altintas
3.5,"2 +
                          1",120 m²,"15
                        Yaşında",,antalya,serik,bogazkent
15.0,"2 +
                          1",100 m²,Sıfır Bina,Giriş Katı,antalya,aksu,konak
9.0,"2 +
                          1",100 m²,"11
                        Yaşında",Yüksek Giriş,antalya,manavgat,seydiler
20.0,"1 +
                          1",65 m²,"4
                        Yaşında",2. Kat,antalya,konyaalti,hurma
22.0,"2 +
                          1",109 m²,"15
                        Yaşında",6. Kat,antalya,konyaalti,sarisu
50.0,"6 +
                          1",400 m²,"10
                        Yaşında",4. Kat,antalya,aksu,kemeragzi
15.0,"2 +
                          1",130 m²,Sıfır Bina,5. Kat,antalya,alanya,mahmutlar
35.0,"3 +
                          1",140 m²,"5
                        Yaşında",2. Kat,antalya,konyaalti,molla_yusuf
4.0,"3 +
                          1",150 m²,"5
                        Yaşında",Giriş Katı,antalya,kepez,yesilyurt
12.0,"2 +
                          1",135 m²,"15
                        Yaşında",En Üst Kat,antalya,serik,merkez
11.0,"1 +
                          1",40 m²,"7
                        Yaşında",Bodrum,antalya,kepez,ahatli
20.0,"2 +
                          1",100 m²,Sıfır Bina,6. Kat,antalya,finike,hasyurt
20.0,"1 +
                          1",55 m²,"1
                        Yaşında",2. Kat,antalya,aksu,altintas
17.0,"1 +
                          1",45 m²,"3
                        Yaşında",7. Kat,antalya,kepez,gunes
15.0,"3 +
                          1",120 m²,"10
                        Yaşında",1. Kat,antalya,dosemealti,yenikoy
13.0,"2 +
                          1",85 m²,Sıfır Bina,1. Kat,antalya,dosemealti,yenikoy
20.0,"1 +
                          1",60 m²,"9
                        Yaşında",1. Kat,antalya,alanya,cikcilli
55.0,"3 +
                          1",140 m²,"1
                        Yaşında",5. Kat,antalya,alanya,cumhuriyet
16.25,"4 +
                          1",150 m²,"2
                        Yaşında",Yüksek Giriş,antalya,kepez,altinova_duden
6.0,"1 +
                          1",35 m²,"4
                        Yaşında",Yüksek Giriş,antalya,kepez,kultur
17.0,"2 +
                          1",50 m²,"15
                        Yaşında",4. Kat,antalya,manavgat,side
11.5,"2 +
                          1",140 m²,Sıfır Bina,2. Kat,antalya,korkuteli,asagipazar
3.0,"1 +
                          1",55 m²,Sıfır Bina,4. Kat,antalya,alanya,avsallar
2.0,"1 +
                          1",75 m²,"3
                        Yaşında",3. Kat,antalya,alanya,avsallar
15.0,"2 +
                          1",100 m²,"2
                        Yaşında",Giriş Katı,antalya,alanya,avsallar
20.0,"2 +
                          1",150 m²,"15
                        Yaşında",Teras Katı,antalya,aksu,kemeragzi
30.0,"2 +
                          1",75 m²,Sıfır Bina,Bahçe Katı,antalya,muratpasa,ermenek
10.0,"3 +
                          1",160 m²,"15
                        Yaşında",1. Kat,antalya,finike,karsiyaka
75.0,"3 +
                          2",240 m²,"4
                        Yaşında",,antalya,dosemealti,altinkale
16.0,"2 +
                          1",110 m²,"15
                        Yaşında",2. Kat,antalya,alanya,incekum
16.0,"2 +
                          1",120 m²,"15
                        Yaşında",Bahçe Katı,antalya,kepez,teomanpasa
35.0,"2 +
                          2",110 m²,"13
                        Yaşında",2. Kat,antalya,kas,andifli
16.0,"2 +
                          1",120 m²,"15
                        Yaşında",1. Kat,antalya,alanya,mahmutlar
14.0,"1 +
                          1",80 m²,"10
                        Yaşında",Yüksek Giriş,antalya,kepez,ahatli
30.0,"3 +
                          1",250 m²,"15
                        Yaşında",4. Kat,antalya,aksu,kemeragzi
13.0,"2 +
                          1",75 m²,"7
                        Yaşında",Giriş Katı,antalya,kepez,safak
18.0,"2 +
                          1",100 m²,"5
                        Yaşında",Çatı Katı,antalya,manavgat,emek
10.0,"2 +
                          1",100 m²,"5
                        Yaşında",1. Kat,antalya,manavgat,dikmen
11.0,"1 +
                          1",60 m²,"11
                        Yaşında",2. Kat,antalya,kepez,kultur
13.0,"1 +
                          1",55 m²,"5
                        Yaşında",2. Kat,antalya,kepez,kultur
42.0,"4 +
                          1",250 m²,"12
                        Yaşında",Yüksek Giriş,antalya,konyaalti,altinkum
32.0,"2 +
                          1",110 m²,"13
                        Yaşında",Bahçe Katı,antalya,konyaalti,molla_yusuf
20.5,"1 +
                          1",104 m²,"11
                        Yaşında",,antalya,muratpasa,ermenek
